"Alkuaika UTC","Lopetusaika UTC","Alkuaika UTC+03:00","Lopetusaika UTC+03:00","Tuulivoimatuotanto - reaaliaikatieto"
"2022-01-01 06:37:00","2022-01-01 06:37:00","2022-01-01 09:37:00","2022-01-01 09:37:00","1954.0"
"2022-01-01 06:40:00","2022-01-01 06:40:00","2022-01-01 09:40:00","2022-01-01 09:40:00","1960.1"
"2022-01-01 06:43:00","2022-01-01 06:43:00","2022-01-01 09:43:00","2022-01-01 09:43:00","1979.0"
"2022-01-01 06:46:00","2022-01-01 06:46:00","2022-01-01 09:46:00","2022-01-01 09:46:00","1990.5"
"2022-01-01 06:49:00","2022-01-01 06:49:00","2022-01-01 09:49:00","2022-01-01 09:49:00","2016.5"
"2022-01-01 06:52:00","2022-01-01 06:52:00","2022-01-01 09:52:00","2022-01-01 09:52:00","2012.0"
"2022-01-01 06:55:00","2022-01-01 06:55:00","2022-01-01 09:55:00","2022-01-01 09:55:00","2000.5"
"2022-01-01 06:58:00","2022-01-01 06:58:00","2022-01-01 09:58:00","2022-01-01 09:58:00","1984.0"
"2022-01-01 07:01:00","2022-01-01 07:01:00","2022-01-01 10:01:00","2022-01-01 10:01:00","1995.0"
"2022-01-01 07:04:00","2022-01-01 07:04:00","2022-01-01 10:04:00","2022-01-01 10:04:00","1999.5"
"2022-01-01 07:07:00","2022-01-01 07:07:00","2022-01-01 10:07:00","2022-01-01 10:07:00","2007.0"
"2022-01-01 07:10:00","2022-01-01 07:10:00","2022-01-01 10:10:00","2022-01-01 10:10:00","2003.0"
"2022-01-01 07:13:00","2022-01-01 07:13:00","2022-01-01 10:13:00","2022-01-01 10:13:00","1996.5"
"2022-01-01 07:16:00","2022-01-01 07:16:00","2022-01-01 10:16:00","2022-01-01 10:16:00","1988.5"
"2022-01-01 07:19:00","2022-01-01 07:19:00","2022-01-01 10:19:00","2022-01-01 10:19:00","1997.6"
"2022-01-01 07:22:00","2022-01-01 07:22:00","2022-01-01 10:22:00","2022-01-01 10:22:00","1994.5"
"2022-01-01 07:25:00","2022-01-01 07:25:00","2022-01-01 10:25:00","2022-01-01 10:25:00","1978.6"
"2022-01-01 07:28:00","2022-01-01 07:28:00","2022-01-01 10:28:00","2022-01-01 10:28:00","1974.0"
"2022-01-01 07:31:00","2022-01-01 07:31:00","2022-01-01 10:31:00","2022-01-01 10:31:00","1985.0"
"2022-01-01 07:34:00","2022-01-01 07:34:00","2022-01-01 10:34:00","2022-01-01 10:34:00","1978.5"
"2022-01-01 07:37:00","2022-01-01 07:37:00","2022-01-01 10:37:00","2022-01-01 10:37:00","1991.0"
"2022-01-01 07:40:00","2022-01-01 07:40:00","2022-01-01 10:40:00","2022-01-01 10:40:00","1988.0"
"2022-01-01 07:43:00","2022-01-01 07:43:00","2022-01-01 10:43:00","2022-01-01 10:43:00","1972.5"
"2022-01-01 07:46:00","2022-01-01 07:46:00","2022-01-01 10:46:00","2022-01-01 10:46:00","1966.0"
"2022-01-01 07:49:00","2022-01-01 07:49:00","2022-01-01 10:49:00","2022-01-01 10:49:00","1952.0"
"2022-01-01 07:52:00","2022-01-01 07:52:00","2022-01-01 10:52:00","2022-01-01 10:52:00","1932.0"
"2022-01-01 07:55:00","2022-01-01 07:55:00","2022-01-01 10:55:00","2022-01-01 10:55:00","1923.5"
"2022-01-01 07:58:00","2022-01-01 07:58:00","2022-01-01 10:58:00","2022-01-01 10:58:00","1927.5"
"2022-01-01 08:01:00","2022-01-01 08:01:00","2022-01-01 11:01:00","2022-01-01 11:01:00","1936.0"
"2022-01-01 08:04:00","2022-01-01 08:04:00","2022-01-01 11:04:00","2022-01-01 11:04:00","1928.0"
"2022-01-01 08:07:00","2022-01-01 08:07:00","2022-01-01 11:07:00","2022-01-01 11:07:00","1937.0"
"2022-01-01 08:10:00","2022-01-01 08:10:00","2022-01-01 11:10:00","2022-01-01 11:10:00","1942.0"
"2022-01-01 08:13:00","2022-01-01 08:13:00","2022-01-01 11:13:00","2022-01-01 11:13:00","1958.0"
"2022-01-01 08:16:00","2022-01-01 08:16:00","2022-01-01 11:16:00","2022-01-01 11:16:00","1951.0"
"2022-01-01 08:19:00","2022-01-01 08:19:00","2022-01-01 11:19:00","2022-01-01 11:19:00","1958.0"
"2022-01-01 08:22:00","2022-01-01 08:22:00","2022-01-01 11:22:00","2022-01-01 11:22:00","1954.5"
"2022-01-01 08:25:00","2022-01-01 08:25:00","2022-01-01 11:25:00","2022-01-01 11:25:00","1962.0"
"2022-01-01 08:28:00","2022-01-01 08:28:00","2022-01-01 11:28:00","2022-01-01 11:28:00","1962.0"
